Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
71,5.9,3.2,4.8,1.8,Helianthus Pauciflorus
72,6.1,2.8,4,1.3,Helianthus Pauciflorus
73,6.3,2.5,4.9,1.5,Helianthus Pauciflorus
74,6.1,2.8,4.7,1.2,Helianthus Pauciflorus
75,6.4,2.9,4.3,1.3,Helianthus Pauciflorus
76,6.6,3,4.4,1.4,Helianthus Pauciflorus
77,6.8,2.8,4.8,1.4,Helianthus Pauciflorus
78,6.7,3,5,1.7,Helianthus Pauciflorus
79,6,2.9,4.5,1.5,Helianthus Pauciflorus
80,5.7,2.6,3.5,1,Helianthus Pauciflorus
81,5.5,2.4,3.8,1.1,Helianthus Pauciflorus
82,5.5,2.4,3.7,1,Helianthus Pauciflorus
83,5.8,2.7,3.9,1.2,Helianthus Pauciflorus
84,6,2.7,5.1,1.6,Helianthus Pauciflorus
85,5.4,3,4.5,1.5,Helianthus Pauciflorus
86,6,3.4,4.5,1.6,Helianthus Pauciflorus
87,6.7,3.1,4.7,1.5,Helianthus Pauciflorus
88,6.3,2.3,4.4,1.3,Helianthus Pauciflorus
89,5.6,3,4.1,1.3,Helianthus Pauciflorus
90,5.5,2.5,4,1.3,Helianthus Pauciflorus
91,5.5,2.6,4.4,1.2,Helianthus Pauciflorus
92,6.1,3,4.6,1.4,Helianthus Pauciflorus
93,5.8,2.6,4,1.2,Helianthus Pauciflorus
94,5,2.3,3.3,1,Helianthus Pauciflorus
95,5.6,2.7,4.2,1.3,Helianthus Pauciflorus
96,5.7,3,4.2,1.2,Helianthus Pauciflorus
97,5.7,2.9,4.2,1.3,Helianthus Pauciflorus
98,6.2,2.9,4.3,1.3,Helianthus Pauciflorus
99,5.1,2.5,3,1.1,Helianthus Pauciflorus
100,5.7,2.8,4.1,1.3,Helianthus Pauciflorus
101,6.3,3.3,6,2.5,Helianthus debilis
102,5.8,2.7,5.1,1.9,Helianthus debilis
103,7.1,3,5.9,2.1,Helianthus debilis
104,6.3,2.9,5.6,1.8,Helianthus debilis
105,6.5,3,5.8,2.2,Helianthus debilis
106,7.6,3,6.6,2.1,Helianthus debilis
107,4.9,2.5,4.5,1.7,Helianthus debilis
108,7.3,2.9,6.3,1.8,Helianthus debilis
109,6.7,2.5,5.8,1.8,Helianthus debilis
110,7.2,3.6,6.1,2.5,Helianthus debilis
111,6.5,3.2,5.1,2,Helianthus debilis
112,6.4,2.7,5.3,1.9,Helianthus debilis
113,6.8,3,5.5,2.1,Helianthus debilis
114,5.7,2.5,5,2,Helianthus debilis
115,5.8,2.8,5.1,2.4,Helianthus debilis
116,6.4,3.2,5.3,2.3,Helianthus debilis
117,6.5,3,5.5,1.8,Helianthus debilis
118,7.7,3.8,6.7,2.2,Helianthus debilis
119,7.7,2.6,6.9,2.3,Helianthus debilis
120,6,2.2,5,1.5,Helianthus debilis
121,6.9,3.2,5.7,2.3,Helianthus debilis
122,5.6,2.8,4.9,2,Helianthus debilis
123,7.7,2.8,6.7,2,Helianthus debilis
124,6.3,2.7,4.9,1.8,Helianthus debilis
125,6.7,3.3,5.7,2.1,Helianthus debilis
126,7.2,3.2,6,1.8,Helianthus debilis
127,6.2,2.8,4.8,1.8,Helianthus debilis
128,6.1,3,4.9,1.8,Helianthus debilis
129,6.4,2.8,5.6,2.1,Helianthus debilis
130,7.2,3,5.8,1.6,Helianthus debilis
131,7.4,2.8,6.1,1.9,Helianthus debilis
132,7.9,3.8,6.4,2,Helianthus debilis
133,6.4,2.8,5.6,2.2,Helianthus debilis
134,6.3,2.8,5.1,1.5,Helianthus debilis
135,6.1,2.6,5.6,1.4,Helianthus debilis
136,7.7,3,6.1,2.3,Helianthus debilis
137,6.3,3.4,5.6,2.4,Helianthus debilis
138,6.4,3.1,5.5,1.8,Helianthus debilis
139,6,3,4.8,1.8,Helianthus debilis
140,6.9,3.1,5.4,2.1,Helianthus debilis
141,6.7,3.1,5.6,2.4,Helianthus debilis
142,6.9,3.1,5.1,2.3,Helianthus debilis
143,5.8,2.7,5.1,1.9,Helianthus debilis
144,6.8,3.2,5.9,2.3,Helianthus debilis
145,6.7,3.3,5.7,2.5,Helianthus debilis
146,6.7,3,5.2,2.3,Helianthus debilis
147,6.3,2.5,5,1.9,Helianthus debilis
148,6.5,3,5.2,2,Helianthus debilis
149,6.2,3.4,5.4,2.3,Helianthus debilis
150,5.9,3,5.1,1.8,Helianthus debilis
